,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_block_size,param_gradient_size,param_k,param_max_corners,param_min_distance,param_quality_level,param_use_harris_detector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07793946266174316,0.023088955144755816,0.4844376564025879,0.04594102161216517,1,1,0.04,13,1,0.0001,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.0001, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
1,0.07993936538696289,0.02622916700535223,0.5451056957244873,0.06117864178899501,1,1,0.04,13,1,0.0001,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.0001, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
2,0.0801788330078125,0.008609983674425057,0.4366754055023193,0.031122256894425385,1,1,0.04,13,1,0.0005,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.0005, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
3,0.08469429016113281,0.010447076863913758,0.5610564708709717,0.035519216401872826,1,1,0.04,13,1,0.0005,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.0005, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
4,0.07821998596191407,0.010216607709778974,0.4334141731262207,0.04438828094363261,1,1,0.04,13,1,0.001,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.001, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
5,0.10205211639404296,0.010359992441817675,0.554400110244751,0.043674792892981935,1,1,0.04,13,1,0.001,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.001, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
6,0.09213056564331054,0.013099051722765643,0.43977532386779783,0.022317553374801995,1,1,0.04,13,1,0.005,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.005, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
7,0.10119175910949707,0.0029402604580248933,0.5750865459442138,0.07353718450713338,1,1,0.04,13,1,0.005,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.005, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
8,0.11019988059997558,0.006447898447473297,0.4237342834472656,0.04429652520076264,1,1,0.04,13,1,0.01,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.01, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
9,0.11922526359558105,0.03516436779585347,0.535107421875,0.06508830855571159,1,1,0.04,13,1,0.01,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.01, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
10,0.1433441162109375,0.01012232894203037,0.40905055999755857,0.05190596411740338,1,1,0.04,13,1,0.1,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.1, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
11,0.11975307464599609,0.026113165158979424,0.582891321182251,0.05187702821616204,1,1,0.04,13,1,0.1,False,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 0.1, 'use_harris_detector': False}",-87.3278678056218,-122.5462611572467,-86.00758866581603,-96.4456375240395,-59.58616669456363,-90.38270436945754,20.239337638823194,1702
12,0.12047867774963379,0.019820611574537232,0.4184314250946045,0.05069546903830933,1,1,0.04,13,1,1,True,"{'block_size': 1, 'gradient_size': 1, 'k': 0.04, 'max_corners': 13, 'min_distance': 1, 'quality_level': 1, 'use_harris_detector': True}",-822.3366250534252,-738.5140588796746,-821.547809965765,-792.9206257908799,-924.211408229753,-819.9061055838996,60.40046384685216,3541
