,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bilateral_diameter,param_dp,param_gaussian_kernel,param_max_radius,param_median_kernel,param_method,param_min_dist,param_min_radius,param_param1,param_param2,param_use_bilateral_blur,param_use_gaussian_blur,param_use_median_blur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,0.15093212127685546,0.04971828693928622,17.012201452255248,2.27425820425499,9,1,5,500,11,3,1000,50,70,60,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 70, 'param2': 60, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-190.1028042988072,-5.261335401257025,-224.61493457282054,-198.7429695856177,-286.9973973735804,-181.14388824641657,94.25429380075462,46
45,0.1388638973236084,0.0380087667522938,14.598471641540527,2.0396192561649475,9,1,5,500,11,3,1000,50,70,70,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 70, 'param2': 70, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-190.1028042988072,-5.261335401257025,-224.61493457282054,-198.7429695856177,-286.9973973735804,-181.14388824641657,94.25429380075462,46
46,0.1621934413909912,0.061827793198311574,13.42421383857727,1.2154324015729814,9,1,5,500,11,3,1000,50,70,80,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 70, 'param2': 80, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-190.1028042988072,-5.226481478340238,-271.70681580286373,-198.7429695856177,-287.0450164211994,-190.56481751736567,100.30936855495342,49
47,0.14499874114990235,0.07458656680771474,12.892172813415527,1.3130548577000045,9,1,5,500,11,3,1000,50,70,100,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 70, 'param2': 100, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-189.70239255049398,-44.705451093790465,-271.70681580286373,-198.78689356999172,-287.0885643084456,-198.3980234651171,85.95040789685441,50
48,0.14190959930419922,0.051148691880852304,26.312298393249513,4.556727097888058,9,1,5,500,11,3,1000,50,80,20,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 20, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-171.35450694930512,-29.533580436629386,-212.47405162621973,-132.28297329984034,-164.86120604285247,-142.10126367096942,61.796405458936,43
49,0.24753575325012206,0.0368685634341031,22.151243877410888,3.57925431816612,9,1,5,500,11,3,1000,50,80,30,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 30, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-214.5947440641562,-5.892401406474986,-213.90623080255696,-214.95444253376445,-258.54693082545214,-181.57894992648093,89.48614716557832,48
50,0.13201532363891602,0.06108686583769503,17.259688234329225,3.4499170505100087,9,1,5,500,11,3,1000,50,80,40,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 40, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.8594721524387,-5.892401406474986,-272.478318638268,-241.00295204221038,-287.3307307069137,-207.71277498926116,102.91390244472491,51
51,0.10573439598083496,0.036261498302361736,15.555499601364136,2.1510828073800226,9,1,5,500,11,3,1000,50,80,50,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 50, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.8594721524387,-5.892401406474986,-308.629112333262,-241.00295204221038,-287.3307307069137,-214.94293372825996,108.33698547018275,52
52,0.14254508018493653,0.03928852914337202,14.147887086868286,1.2750610061885288,9,1,5,500,11,3,1000,50,80,60,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 60, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.8594721524387,-6.413902966016122,-308.629112333262,-241.00295204221038,-287.3307307069137,-215.04723404016818,108.13573814209325,53
53,0.16806111335754395,0.10193853941764237,12.22731156349182,1.0828707709385732,9,1,5,500,11,3,1000,50,80,70,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 70, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.8594721524387,-85.58202095534972,-308.629112333262,-241.00295204221038,-287.3307307069137,-230.8808576380349,78.03402552794888,54
54,0.10730400085449218,0.02937629807884287,11.0917724609375,0.9005948380501803,9,1,5,500,11,3,1000,50,80,80,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 80, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.8594721524387,-122.32219366105548,-308.629112333262,-241.06181242209135,-287.37834975453274,-238.25018806467605,64.58299407750012,55
55,0.10811901092529297,0.05337371018653185,11.537075853347778,0.8255969440019462,9,1,5,500,11,3,1000,50,80,100,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 80, 'param2': 100, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-231.4590604041255,-122.29922005868184,-341.56141184800896,-282.88117380288395,-287.4218976417789,-253.12455275109582,74.11815383914374,56
56,0.20051240921020508,0.08714717597602342,15.50530834197998,2.1530884161632278,9,1,5,500,11,3,1000,50,100,20,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 20, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-400.1684500467947,-237.99731474446244,-371.90084164626705,-439.44817385235314,-464.8853733231337,-382.8800307226022,79.16471999177901,57
57,0.1928856372833252,0.11690784657461917,14.272395801544189,1.1270024737393114,9,1,5,500,11,3,1000,50,100,30,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 30, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-651.8218513885929,-499.44362133035696,-541.126149303561,-615.5991120520487,-686.2083242931143,-598.8398116735348,69.18337539871186,59
58,0.09984688758850098,0.06914930912311146,11.917271089553832,0.8347296891671129,9,1,5,500,11,3,1000,50,100,40,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 40, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-652.861983163459,-500.1602025153924,-541.174050528855,-615.5991120520487,-683.3444292265959,-598.6279554972701,68.41502818278313,58
59,0.094364595413208,0.03853849558058227,11.169609069824219,0.805661217889214,9,1,5,500,11,3,1000,50,100,50,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 50, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-652.861983163459,-545.0246504549492,-576.1395959771822,-615.4831926974954,-742.4152130967201,-626.3849270779612,68.44997807837744,60
60,0.1553208827972412,0.06457649603890807,10.269341897964477,0.4658378535322539,9,1,5,500,11,3,1000,50,100,60,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 60, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-652.861983163459,-561.7399700369135,-576.5662582679952,-619.9106586888929,-749.5472131896048,-632.1252166693731,66.94477571886289,61
61,0.12388858795166016,0.040648753055431086,10.29303674697876,0.5597334014860971,9,1,5,500,11,3,1000,50,100,70,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 70, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-652.861983163459,-604.0046825790249,-576.1221222289865,-619.9106586888929,-763.6866549211258,-643.3172203162978,65.09750723709763,62
62,0.10610837936401367,0.04071647361697256,9.311470460891723,0.6775365344604556,9,1,5,500,11,3,1000,50,100,80,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 80, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-690.9244389836441,-604.0046825790249,-575.6053316843285,-630.3634329936291,-810.1150411641119,-662.2025854809477,83.18996491556274,63
63,0.082100248336792,0.012487286501257832,6.5344462394714355,1.1135514930771258,9,1,5,500,11,3,1000,50,100,100,True,True,True,"{'bilateral_diameter': 9, 'dp': 1, 'gaussian_kernel': 5, 'max_radius': 500, 'median_kernel': 11, 'method': 3, 'min_dist': 1000, 'min_radius': 50, 'param1': 100, 'param2': 100, 'use_bilateral_blur': True, 'use_gaussian_blur': True, 'use_median_blur': True}",-729.3117293024304,-648.1512751091773,-618.9423452970252,-688.8166287510841,-810.1150411641119,-699.0674039247658,66.8787747186165,64
